t_s,N_rpm,speed_ratio_numeric,speed_ratio_hyperbola,abs_err
49.1,87.3823,0.0753295669,0.0753295669,5.690e-16
49.2,87.2180,0.0751879699,0.0751879699,5.967e-16
49.3,87.0544,0.0750469043,0.0750469043,5.690e-16
49.4,86.8914,0.0749063670,0.0749063670,5.551e-16
49.5,86.7290,0.0747663551,0.0747663551,5.690e-16
49.6,86.5672,0.0746268657,0.0746268657,5.412e-16
49.7,86.4060,0.0744878957,0.0744878957,5.412e-16
49.8,86.2454,0.0743494424,0.0743494424,5.551e-16
49.9,86.0853,0.0742115028,0.0742115028,4.996e-16
50.0,85.9259,0.0740740741,0.0740740741,5.412e-16
50.1,85.7671,0.0739371534,0.0739371534,6.384e-16
50.2,85.6089,0.0738007380,0.0738007380,6.523e-16
50.3,85.4512,0.0736648250,0.0736648250,6.939e-16
50.4,85.2941,0.0735294118,0.0735294118,7.078e-16
50.5,85.1376,0.0733944954,0.0733944954,6.800e-16
50.6,84.9817,0.0732600733,0.0732600733,7.216e-16
50.7,84.8263,0.0731261426,0.0731261426,7.355e-16
50.8,84.6715,0.0729927007,0.0729927007,7.772e-16
50.9,84.5173,0.0728597450,0.0728597450,7.216e-16
51.0,84.3636,0.0727272727,0.0727272727,7.355e-16
51.1,84.2105,0.0725952813,0.0725952813,7.078e-16
51.2,84.0580,0.0724637681,0.0724637681,6.661e-16
51.3,83.9060,0.0723327306,0.0723327306,6.523e-16
51.4,83.7545,0.0722021661,0.0722021661,6.245e-16
51.5,83.6036,0.0720720721,0.0720720721,6.661e-16
51.6,83.4532,0.0719424460,0.0719424460,6.384e-16
51.7,83.3034,0.0718132855,0.0718132855,5.690e-16
51.8,83.1541,0.0716845878,0.0716845878,5.135e-16
51.9,83.0054,0.0715563506,0.0715563506,5.135e-16
52.0,82.8571,0.0714285714,0.0714285714,5.412e-16
52.1,82.7094,0.0713012478,0.0713012478,5.551e-16
52.2,82.5623,0.0711743772,0.0711743772,5.829e-16
52.3,82.4156,0.0710479574,0.0710479574,5.829e-16
52.4,82.2695,0.0709219858,0.0709219858,4.857e-16
52.5,82.1239,0.0707964602,0.0707964602,5.412e-16
52.6,81.9788,0.0706713781,0.0706713781,5.967e-16
52.7,81.8342,0.0705467372,0.0705467372,5.274e-16
52.8,81.6901,0.0704225352,0.0704225352,4.718e-16
52.9,81.5466,0.0702987698,0.0702987698,4.857e-16
53.0,81.4035,0.0701754386,0.0701754386,4.163e-16
53.1,81.2609,0.0700525394,0.0700525394,4.163e-16
53.2,81.1189,0.0699300699,0.0699300699,4.163e-16
53.3,80.9773,0.0698080279,0.0698080279,3.886e-16
53.4,80.8362,0.0696864111,0.0696864111,3.886e-16
53.5,80.6957,0.0695652174,0.0695652174,4.163e-16
53.6,80.5556,0.0694444444,0.0694444444,4.580e-16
53.7,80.4159,0.0693240901,0.0693240901,5.274e-16
53.8,80.2768,0.0692041522,0.0692041522,4.996e-16
53.9,80.1382,0.0690846287,0.0690846287,4.996e-16
54.0,80.0000,0.0689655172,0.0689655172,5.551e-16
54.1,79.8623,0.0688468158,0.0688468158,5.135e-16
54.2,79.7251,0.0687285223,0.0687285223,5.135e-16
54.3,79.5883,0.0686106346,0.0686106346,4.580e-16
54.4,79.4521,0.0684931507,0.0684931507,4.580e-16
54.5,79.3162,0.0683760684,0.0683760684,4.441e-16
54.6,79.1809,0.0682593857,0.0682593857,4.025e-16
54.7,79.0460,0.0681431005,0.0681431005,3.747e-16
54.8,78.9116,0.0680272109,0.0680272109,3.469e-16
54.9,78.7776,0.0679117148,0.0679117148,3.053e-16
55.0,78.6441,0.0677966102,0.0677966102,2.914e-16
55.1,78.5110,0.0676818951,0.0676818951,2.220e-16
55.2,78.3784,0.0675675676,0.0675675676,3.192e-16
55.3,78.2462,0.0674536256,0.0674536256,3.053e-16
55.4,78.1145,0.0673400673,0.0673400673,2.914e-16
55.5,77.9832,0.0672268908,0.0672268908,2.776e-16
55.6,77.8523,0.0671140940,0.0671140940,2.776e-16
55.7,77.7219,0.0670016750,0.0670016750,3.053e-16
55.8,77.5920,0.0668896321,0.0668896321,3.747e-16
55.9,77.4624,0.0667779633,0.0667779633,4.302e-16
56.0,77.3333,0.0666666667,0.0666666667,4.025e-16
56.1,77.2047,0.0665557404,0.0665557404,3.608e-16
56.2,77.0764,0.0664451827,0.0664451827,3.469e-16
56.3,76.9486,0.0663349917,0.0663349917,3.608e-16
56.4,76.8212,0.0662251656,0.0662251656,4.025e-16
56.5,76.6942,0.0661157025,0.0661157025,4.580e-16
56.6,76.5677,0.0660066007,0.0660066007,5.135e-16
56.7,76.4415,0.0658978583,0.0658978583,4.857e-16
56.8,76.3158,0.0657894737,0.0657894737,4.441e-16
56.9,76.1905,0.0656814450,0.0656814450,3.886e-16
57.0,76.0656,0.0655737705,0.0655737705,4.441e-16
57.1,75.9411,0.0654664484,0.0654664484,4.025e-16
57.2,75.8170,0.0653594771,0.0653594771,4.302e-16
57.3,75.6933,0.0652528548,0.0652528548,4.025e-16
57.4,75.5700,0.0651465798,0.0651465798,3.886e-16
57.5,75.4472,0.0650406504,0.0650406504,4.025e-16
57.6,75.3247,0.0649350649,0.0649350649,3.886e-16
57.7,75.2026,0.0648298217,0.0648298217,3.608e-16
57.8,75.0809,0.0647249191,0.0647249191,3.192e-16
57.9,74.9596,0.0646203554,0.0646203554,3.331e-16
58.0,74.8387,0.0645161290,0.0645161290,3.331e-16
58.1,74.7182,0.0644122383,0.0644122383,3.331e-16
58.2,74.5981,0.0643086817,0.0643086817,3.469e-16
58.3,74.4783,0.0642054575,0.0642054575,3.469e-16
58.4,74.3590,0.0641025641,0.0641025641,3.469e-16
58.5,74.2400,0.0640000000,0.0640000000,3.331e-16
58.6,74.1214,0.0638977636,0.0638977636,3.469e-16
58.7,74.0032,0.0637958533,0.0637958533,3.608e-16
58.8,73.8854,0.0636942675,0.0636942675,3.608e-16
58.9,73.7679,0.0635930048,0.0635930048,3.747e-16
59.0,73.6508,0.0634920635,0.0634920635,4.025e-16
59.1,73.5341,0.0633914422,0.0633914422,4.302e-16
59.2,73.4177,0.0632911392,0.0632911392,4.302e-16
59.3,73.3017,0.0631911532,0.0631911532,4.163e-16
59.4,73.1861,0.0630914826,0.0630914826,4.025e-16
59.5,73.0709,0.0629921260,0.0629921260,4.025e-16
59.6,72.9560,0.0628930818,0.0628930818,4.025e-16
59.7,72.8414,0.0627943485,0.0627943485,4.025e-16
59.8,72.7273,0.0626959248,0.0626959248,4.302e-16
59.9,72.6135,0.0625978091,0.0625978091,4.025e-16
60.0,72.5000,0.0625000000,0.0625000000,3.955e-16
